episode,reward,topology
1,86.0,topology_8host
2,36.0,topology_8host
3,115.0,topology_8host
4,61.0,topology_8host
5,61.0,topology_8host
6,55.0,topology_8host
7,72.0,topology_8host
8,59.0,topology_8host
9,157.0,topology_8host
10,118.0,topology_8host
11,96.0,topology_8host
12,82.0,topology_8host
13,72.0,topology_8host
14,27.0,topology_8host
15,74.0,topology_8host
16,38.0,topology_8host
17,-6.0,topology_8host
18,29.0,topology_8host
19,93.0,topology_8host
20,18.0,topology_8host
21,20.0,topology_8host
22,26.0,topology_8host
23,97.0,topology_8host
24,106.0,topology_8host
25,67.0,topology_8host
26,97.0,topology_8host
27,70.0,topology_8host
28,76.0,topology_8host
29,56.0,topology_8host
30,62.0,topology_8host
31,68.0,topology_8host
32,114.0,topology_8host
33,101.0,topology_8host
34,86.0,topology_8host
35,34.0,topology_8host
36,84.0,topology_8host
37,81.0,topology_8host
38,87.0,topology_8host
39,76.0,topology_8host
40,72.0,topology_8host
41,92.0,topology_8host
42,32.0,topology_8host
43,75.0,topology_8host
44,82.0,topology_8host
45,13.0,topology_8host
46,82.0,topology_8host
47,114.0,topology_8host
48,66.0,topology_8host
49,103.0,topology_8host
50,72.0,topology_8host
51,53.0,topology_8host
52,65.0,topology_8host
53,55.0,topology_8host
54,42.0,topology_8host
55,97.0,topology_8host
56,119.0,topology_8host
57,88.0,topology_8host
58,96.0,topology_8host
59,69.0,topology_8host
60,81.0,topology_8host
61,115.0,topology_8host
62,44.0,topology_8host
63,89.0,topology_8host
64,99.0,topology_8host
65,109.0,topology_8host
66,63.0,topology_8host
67,87.0,topology_8host
68,41.0,topology_8host
69,78.0,topology_8host
70,90.0,topology_8host
71,90.0,topology_8host
72,54.0,topology_8host
73,53.0,topology_8host
74,93.0,topology_8host
75,105.0,topology_8host
76,56.0,topology_8host
77,75.0,topology_8host
78,78.0,topology_8host
79,37.0,topology_8host
80,77.0,topology_8host
81,113.0,topology_8host
82,50.0,topology_8host
83,42.0,topology_8host
84,82.0,topology_8host
85,91.0,topology_8host
86,98.0,topology_8host
87,19.0,topology_8host
88,85.0,topology_8host
89,93.0,topology_8host
90,18.0,topology_8host
91,84.0,topology_8host
92,53.0,topology_8host
93,86.0,topology_8host
94,50.0,topology_8host
95,89.0,topology_8host
96,83.0,topology_8host
97,65.0,topology_8host
98,134.0,topology_8host
99,47.0,topology_8host
100,84.0,topology_8host
101,62.0,topology_8host
102,60.0,topology_8host
103,57.0,topology_8host
104,51.0,topology_8host
105,94.0,topology_8host
106,69.0,topology_8host
107,46.0,topology_8host
108,61.0,topology_8host
109,37.0,topology_8host
110,76.0,topology_8host
111,83.0,topology_8host
112,74.0,topology_8host
113,58.0,topology_8host
114,54.0,topology_8host
115,108.0,topology_8host
116,39.0,topology_8host
117,83.0,topology_8host
118,66.0,topology_8host
119,75.0,topology_8host
120,90.0,topology_8host
121,81.0,topology_8host
122,50.0,topology_8host
123,70.0,topology_8host
124,98.0,topology_8host
125,82.0,topology_8host
126,72.0,topology_8host
127,64.0,topology_8host
128,60.0,topology_8host
129,76.0,topology_8host
130,89.0,topology_8host
131,42.0,topology_8host
132,85.0,topology_8host
133,65.0,topology_8host
134,96.0,topology_8host
135,120.0,topology_8host
136,73.0,topology_8host
137,100.0,topology_8host
138,79.0,topology_8host
139,54.0,topology_8host
140,71.0,topology_8host
141,75.0,topology_8host
142,96.0,topology_8host
143,31.0,topology_8host
144,72.0,topology_8host
145,59.0,topology_8host
146,83.0,topology_8host
147,114.0,topology_8host
148,41.0,topology_8host
149,104.0,topology_8host
150,61.0,topology_8host
151,80.0,topology_8host
152,100.0,topology_8host
153,46.0,topology_8host
154,70.0,topology_8host
155,44.0,topology_8host
156,66.0,topology_8host
157,94.0,topology_8host
158,64.0,topology_8host
159,80.0,topology_8host
160,72.0,topology_8host
161,76.0,topology_8host
162,95.0,topology_8host
163,84.0,topology_8host
164,87.0,topology_8host
165,91.0,topology_8host
166,59.0,topology_8host
167,78.0,topology_8host
168,39.0,topology_8host
169,87.0,topology_8host
170,61.0,topology_8host
171,102.0,topology_8host
172,88.0,topology_8host
173,43.0,topology_8host
174,81.0,topology_8host
175,49.0,topology_8host
176,65.0,topology_8host
177,33.0,topology_8host
178,71.0,topology_8host
179,32.0,topology_8host
180,111.0,topology_8host
181,71.0,topology_8host
182,74.0,topology_8host
183,106.0,topology_8host
184,73.0,topology_8host
185,92.0,topology_8host
186,89.0,topology_8host
187,86.0,topology_8host
188,61.0,topology_8host
189,66.0,topology_8host
190,85.0,topology_8host
191,85.0,topology_8host
192,50.0,topology_8host
193,84.0,topology_8host
194,98.0,topology_8host
195,62.0,topology_8host
196,53.0,topology_8host
197,77.0,topology_8host
198,52.0,topology_8host
199,55.0,topology_8host
200,46.0,topology_8host
201,82.0,topology_8host
202,60.0,topology_8host
203,104.0,topology_8host
204,82.0,topology_8host
205,67.0,topology_8host
