episode,reward,topology
266,60.0,topology_4host
267,94.0,topology_4host
268,89.0,topology_4host
269,64.0,topology_4host
270,74.0,topology_4host
271,46.0,topology_4host
272,72.0,topology_4host
273,92.0,topology_4host
274,93.0,topology_4host
275,71.0,topology_4host
276,69.0,topology_4host
277,72.0,topology_4host
278,65.0,topology_4host
279,66.0,topology_4host
280,52.0,topology_4host
281,52.0,topology_4host
282,24.0,topology_4host
283,80.0,topology_4host
284,39.0,topology_4host
285,63.0,topology_4host
286,62.0,topology_4host
287,43.0,topology_4host
288,83.0,topology_4host
289,78.0,topology_4host
290,69.0,topology_4host
291,57.0,topology_4host
292,94.0,topology_4host
293,48.0,topology_4host
294,97.0,topology_4host
295,62.0,topology_4host
296,90.0,topology_4host
297,91.0,topology_4host
298,95.0,topology_4host
299,50.0,topology_4host
300,51.0,topology_4host
301,92.0,topology_4host
302,67.0,topology_4host
303,48.0,topology_4host
304,47.0,topology_4host
305,54.0,topology_4host
306,72.0,topology_4host
307,76.0,topology_4host
308,84.0,topology_4host
309,52.0,topology_4host
310,85.0,topology_4host
311,76.0,topology_4host
312,65.0,topology_4host
313,90.0,topology_4host
314,69.0,topology_4host
315,82.0,topology_4host
316,97.0,topology_4host
317,105.0,topology_4host
318,26.0,topology_4host
319,94.0,topology_4host
320,61.0,topology_4host
321,37.0,topology_4host
322,69.0,topology_4host
323,63.0,topology_4host
324,66.0,topology_4host
325,79.0,topology_4host
326,58.0,topology_4host
327,70.0,topology_4host
328,81.0,topology_4host
329,32.0,topology_4host
330,47.0,topology_4host
331,84.0,topology_4host
332,84.0,topology_4host
333,71.0,topology_4host
334,64.0,topology_4host
335,68.0,topology_4host
336,74.0,topology_4host
337,114.0,topology_4host
338,86.0,topology_4host
339,69.0,topology_4host
340,55.0,topology_4host
341,85.0,topology_4host
342,65.0,topology_4host
343,50.0,topology_4host
344,117.0,topology_4host
345,51.0,topology_4host
346,63.0,topology_4host
347,67.0,topology_4host
348,25.0,topology_4host
349,85.0,topology_4host
350,34.0,topology_4host
351,64.0,topology_4host
352,67.0,topology_4host
353,67.0,topology_4host
354,80.0,topology_4host
355,81.0,topology_4host
356,86.0,topology_4host
357,48.0,topology_4host
358,76.0,topology_4host
359,68.0,topology_4host
360,61.0,topology_4host
361,82.0,topology_4host
362,66.0,topology_4host
363,111.0,topology_4host
364,78.0,topology_4host
365,53.0,topology_4host
366,108.0,topology_4host
367,50.0,topology_4host
368,99.0,topology_4host
369,72.0,topology_4host
370,72.0,topology_4host
371,79.0,topology_4host
372,84.0,topology_4host
373,70.0,topology_4host
374,70.0,topology_4host
375,79.0,topology_4host
376,55.0,topology_4host
377,58.0,topology_4host
378,106.0,topology_4host
379,64.0,topology_4host
380,90.0,topology_4host
381,89.0,topology_4host
382,57.0,topology_4host
383,75.0,topology_4host
384,76.0,topology_4host
385,88.0,topology_4host
386,95.0,topology_4host
387,107.0,topology_4host
388,62.0,topology_4host
389,63.0,topology_4host
390,100.0,topology_4host
391,60.0,topology_4host
392,46.0,topology_4host
393,12.0,topology_4host
394,71.0,topology_4host
395,71.0,topology_4host
396,70.0,topology_4host
397,87.0,topology_4host
398,59.0,topology_4host
399,65.0,topology_4host
400,43.0,topology_4host
401,65.0,topology_4host
402,86.0,topology_4host
403,70.0,topology_4host
404,70.0,topology_4host
405,58.0,topology_4host
406,55.0,topology_4host
407,92.0,topology_4host
408,113.0,topology_4host
409,57.0,topology_4host
410,77.0,topology_4host
411,27.0,topology_4host
412,89.0,topology_4host
413,57.0,topology_4host
414,77.0,topology_4host
415,114.0,topology_4host
416,62.0,topology_4host
417,54.0,topology_4host
418,112.0,topology_4host
419,87.0,topology_4host
420,73.0,topology_4host
421,50.0,topology_4host
422,68.0,topology_4host
423,116.0,topology_4host
424,114.0,topology_4host
425,85.0,topology_4host
426,38.0,topology_4host
427,50.0,topology_4host
428,73.0,topology_4host
429,54.0,topology_4host
430,114.0,topology_4host
431,55.0,topology_4host
432,100.0,topology_4host
433,83.0,topology_4host
434,76.0,topology_4host
435,101.0,topology_4host
436,69.0,topology_4host
437,110.0,topology_4host
438,68.0,topology_4host
439,95.0,topology_4host
440,117.0,topology_4host
441,92.0,topology_4host
442,89.0,topology_4host
443,54.0,topology_4host
444,66.0,topology_4host
445,72.0,topology_4host
446,57.0,topology_4host
447,102.0,topology_4host
448,75.0,topology_4host
449,46.0,topology_4host
450,41.0,topology_4host
451,64.0,topology_4host
452,65.0,topology_4host
453,61.0,topology_4host
454,106.0,topology_4host
455,80.0,topology_4host
456,130.0,topology_4host
457,84.0,topology_4host
458,91.0,topology_4host
459,59.0,topology_4host
460,90.0,topology_4host
461,84.0,topology_4host
462,107.0,topology_4host
463,83.0,topology_4host
464,91.0,topology_4host
465,69.0,topology_4host
466,75.0,topology_4host
467,97.0,topology_4host
468,49.0,topology_4host
469,79.0,topology_4host
470,56.0,topology_4host
471,86.0,topology_4host
472,118.0,topology_4host
473,86.0,topology_4host
474,56.0,topology_4host
475,68.0,topology_4host
476,88.0,topology_4host
477,79.0,topology_4host
478,65.0,topology_4host
479,53.0,topology_4host
480,75.0,topology_4host
481,59.0,topology_4host
482,108.0,topology_4host
483,66.0,topology_4host
484,83.0,topology_4host
485,61.0,topology_4host
486,84.0,topology_4host
487,120.0,topology_4host
488,99.0,topology_4host
489,90.0,topology_4host
490,87.0,topology_4host
491,109.0,topology_4host
492,83.0,topology_4host
493,82.0,topology_4host
494,70.0,topology_4host
495,107.0,topology_4host
496,89.0,topology_4host
497,69.0,topology_4host
498,65.0,topology_4host
499,82.0,topology_4host
500,84.0,topology_4host
501,95.0,topology_4host
502,56.0,topology_4host
503,93.0,topology_4host
504,67.0,topology_4host
505,81.0,topology_4host
506,80.0,topology_4host
507,58.0,topology_4host
508,64.0,topology_4host
509,98.0,topology_4host
510,112.0,topology_4host
511,63.0,topology_4host
512,52.0,topology_4host
513,71.0,topology_4host
514,78.0,topology_4host
515,112.0,topology_4host
516,108.0,topology_4host
517,103.0,topology_4host
518,92.0,topology_4host
519,123.0,topology_4host
520,68.0,topology_4host
521,88.0,topology_4host
522,123.0,topology_4host
523,87.0,topology_4host
524,95.0,topology_4host
525,117.0,topology_4host
526,128.0,topology_4host
527,86.0,topology_4host
528,101.0,topology_4host
529,88.0,topology_4host
530,74.0,topology_4host
531,106.0,topology_4host
532,87.0,topology_4host
533,65.0,topology_4host
534,102.0,topology_4host
535,58.0,topology_4host
536,96.0,topology_4host
537,65.0,topology_4host
538,68.0,topology_4host
539,99.0,topology_4host
540,63.0,topology_4host
541,50.0,topology_4host
542,98.0,topology_4host
543,99.0,topology_4host
544,75.0,topology_4host
545,80.0,topology_4host
546,106.0,topology_4host
547,50.0,topology_4host
548,67.0,topology_4host
549,107.0,topology_4host
550,100.0,topology_4host
551,35.0,topology_4host
552,80.0,topology_4host
553,66.0,topology_4host
554,12.0,topology_4host
555,78.0,topology_4host
556,83.0,topology_4host
557,76.0,topology_4host
558,100.0,topology_4host
559,54.0,topology_4host
560,97.0,topology_4host
561,107.0,topology_4host
562,108.0,topology_4host
563,113.0,topology_4host
564,95.0,topology_4host
565,82.0,topology_4host
566,85.0,topology_4host
567,72.0,topology_4host
568,79.0,topology_4host
569,97.0,topology_4host
570,45.0,topology_4host
571,46.0,topology_4host
572,84.0,topology_4host
573,96.0,topology_4host
574,70.0,topology_4host
575,126.0,topology_4host
576,124.0,topology_4host
577,78.0,topology_4host
578,90.0,topology_4host
579,93.0,topology_4host
580,108.0,topology_4host
581,88.0,topology_4host
582,102.0,topology_4host
583,59.0,topology_4host
584,109.0,topology_4host
585,77.0,topology_4host
586,110.0,topology_4host
587,103.0,topology_4host
588,95.0,topology_4host
589,106.0,topology_4host
590,72.0,topology_4host
591,65.0,topology_4host
592,83.0,topology_4host
593,61.0,topology_4host
594,127.0,topology_4host
595,101.0,topology_4host
596,127.0,topology_4host
597,116.0,topology_4host
598,65.0,topology_4host
599,69.0,topology_4host
600,94.0,topology_4host
601,98.0,topology_4host
602,38.0,topology_4host
603,91.0,topology_4host
604,85.0,topology_4host
605,120.0,topology_4host
606,84.0,topology_4host
607,71.0,topology_4host
608,105.0,topology_4host
609,47.0,topology_4host
610,111.0,topology_4host
611,108.0,topology_4host
612,83.0,topology_4host
613,81.0,topology_4host
614,104.0,topology_4host
615,56.0,topology_4host
616,99.0,topology_4host
617,91.0,topology_4host
618,118.0,topology_4host
619,73.0,topology_4host
620,91.0,topology_4host
621,110.0,topology_4host
622,80.0,topology_4host
623,76.0,topology_4host
624,64.0,topology_4host
625,102.0,topology_4host
626,91.0,topology_4host
627,94.0,topology_4host
628,49.0,topology_4host
629,92.0,topology_4host
630,91.0,topology_4host
631,135.0,topology_4host
632,95.0,topology_4host
633,116.0,topology_4host
634,86.0,topology_4host
635,65.0,topology_4host
636,122.0,topology_4host
637,89.0,topology_4host
638,75.0,topology_4host
639,53.0,topology_4host
640,94.0,topology_4host
641,73.0,topology_4host
642,112.0,topology_4host
643,147.0,topology_4host
644,98.0,topology_4host
645,95.0,topology_4host
646,115.0,topology_4host
647,121.0,topology_4host
648,103.0,topology_4host
649,99.0,topology_4host
650,74.0,topology_4host
651,70.0,topology_4host
652,88.0,topology_4host
653,35.0,topology_4host
654,76.0,topology_4host
655,108.0,topology_4host
656,98.0,topology_4host
657,135.0,topology_4host
658,92.0,topology_4host
659,95.0,topology_4host
660,110.0,topology_4host
661,70.0,topology_4host
662,54.0,topology_4host
663,47.0,topology_4host
664,133.0,topology_4host
665,105.0,topology_4host
666,76.0,topology_4host
667,62.0,topology_4host
668,38.0,topology_4host
669,79.0,topology_4host
670,110.0,topology_4host
671,119.0,topology_4host
672,92.0,topology_4host
673,108.0,topology_4host
674,73.0,topology_4host
675,91.0,topology_4host
676,68.0,topology_4host
677,66.0,topology_4host
678,117.0,topology_4host
679,89.0,topology_4host
680,143.0,topology_4host
681,133.0,topology_4host
682,127.0,topology_4host
683,79.0,topology_4host
684,94.0,topology_4host
685,115.0,topology_4host
686,27.0,topology_4host
687,117.0,topology_4host
688,109.0,topology_4host
689,36.0,topology_4host
690,70.0,topology_4host
691,70.0,topology_4host
692,128.0,topology_4host
693,78.0,topology_4host
694,94.0,topology_4host
695,86.0,topology_4host
696,107.0,topology_4host
697,82.0,topology_4host
698,99.0,topology_4host
699,64.0,topology_4host
700,105.0,topology_4host
701,53.0,topology_4host
702,61.0,topology_4host
703,108.0,topology_4host
704,81.0,topology_4host
705,115.0,topology_4host
706,61.0,topology_4host
707,86.0,topology_4host
708,67.0,topology_4host
709,88.0,topology_4host
710,132.0,topology_4host
711,105.0,topology_4host
712,92.0,topology_4host
713,102.0,topology_4host
714,110.0,topology_4host
715,45.0,topology_4host
716,116.0,topology_4host
717,98.0,topology_4host
718,110.0,topology_4host
719,103.0,topology_4host
720,68.0,topology_4host
721,121.0,topology_4host
722,115.0,topology_4host
723,78.0,topology_4host
724,108.0,topology_4host
725,101.0,topology_4host
726,105.0,topology_4host
727,56.0,topology_4host
728,58.0,topology_4host
729,37.0,topology_4host
730,131.0,topology_4host
731,17.0,topology_4host
732,117.0,topology_4host
733,99.0,topology_4host
734,118.0,topology_4host
735,67.0,topology_4host
736,88.0,topology_4host
737,121.0,topology_4host
738,61.0,topology_4host
739,66.0,topology_4host
740,118.0,topology_4host
741,152.0,topology_4host
742,99.0,topology_4host
743,78.0,topology_4host
744,142.0,topology_4host
745,115.0,topology_4host
746,119.0,topology_4host
747,48.0,topology_4host
748,95.0,topology_4host
749,135.0,topology_4host
750,74.0,topology_4host
751,83.0,topology_4host
752,58.0,topology_4host
753,76.0,topology_4host
754,76.0,topology_4host
755,70.0,topology_4host
756,50.0,topology_4host
757,89.0,topology_4host
758,129.0,topology_4host
759,146.0,topology_4host
760,109.0,topology_4host
761,89.0,topology_4host
762,109.0,topology_4host
763,67.0,topology_4host
